mark,role,burst_stratum,horizon_K,fwd_target,n,mean_fwd,median_fwd,frac_pos,t_vs_zero,ci95_low,ci95_high
Mark 38,seller_agg,isolated,100,HYDROGEL_PACK,729,0.7949245541838135,0.0,0.49108367626886146,1.1933583907103098,-0.4691529492455418,2.1408264746227705
Mark 55,buyer_agg,isolated,5,VELVETFRUIT_EXTRACT,591,0.20050761421319796,0.0,0.467005076142132,2.246188547452201,0.02360406091370559,0.3765439932318104
Mark 55,buyer_agg,isolated,5,HYDROGEL_PACK,591,0.20304568527918782,0.0,0.467005076142132,1.1579588835370906,-0.12017766497461928,0.550042301184433
Mark 55,buyer_agg,isolated,20,VELVETFRUIT_EXTRACT,591,0.4027072758037225,0.5,0.5076142131979695,2.4221497474245623,0.07104483925549916,0.7065143824027071
Mark 55,buyer_agg,isolated,20,HYDROGEL_PACK,591,0.27918781725888325,0.0,0.49915397631133673,0.7911414280993371,-0.4138113367174281,0.9754864636209813
Mark 55,buyer_agg,isolated,100,VELVETFRUIT_EXTRACT,589,0.5118845500848896,0.0,0.499151103565365,1.3440368182174072,-0.27527589134125635,1.2777376910016978
Mark 55,buyer_agg,isolated,100,HYDROGEL_PACK,589,0.27504244482173174,0.0,0.4685908319185059,0.375859604590401,-1.116044142614601,1.7303480475382
Mark 55,seller_agg,isolated,5,VELVETFRUIT_EXTRACT,595,0.04789915966386555,0.0,0.44201680672268906,0.531322593798149,-0.12102941176470589,0.21428571428571427
Mark 55,seller_agg,isolated,5,HYDROGEL_PACK,595,0.07226890756302522,0.0,0.46218487394957986,0.41160605645116405,-0.28991596638655465,0.4093067226890756
Mark 55,seller_agg,isolated,20,VELVETFRUIT_EXTRACT,595,-0.09663865546218488,0.0,0.4403361344537815,-0.5613074845646703,-0.41430672268907565,0.23976890756302496
Mark 55,seller_agg,isolated,20,HYDROGEL_PACK,595,-0.13445378151260504,0.0,0.48403361344537815,-0.38817058867246906,-0.8136344537815126,0.5591386554621846
Mark 55,seller_agg,isolated,100,VELVETFRUIT_EXTRACT,594,-0.8956228956228957,-1.0,0.44107744107744107,-2.4388757641145182,-1.557638888888889,-0.1790193602693605
Mark 55,seller_agg,isolated,100,HYDROGEL_PACK,594,-0.15824915824915825,-1.0,0.4663299663299663,-0.20939989396121728,-1.6222222222222222,1.3443392255892255
Mark 67,buyer_agg,isolated,5,VELVETFRUIT_EXTRACT,162,1.9753086419753085,2.0,0.8395061728395061,13.030065309864778,1.678935185185185,2.250077160493827
Mark 67,buyer_agg,isolated,5,HYDROGEL_PACK,162,0.42901234567901236,0.0,0.4691358024691358,1.1862378340118536,-0.2779320987654321,1.1604938271604939
Mark 67,buyer_agg,isolated,20,VELVETFRUIT_EXTRACT,162,1.8209876543209877,1.5,0.6481481481481481,5.822888939968094,1.1817129629629628,2.401311728395062
Mark 67,buyer_agg,isolated,20,HYDROGEL_PACK,162,0.3271604938271605,0.0,0.4567901234567901,0.4957120883174169,-0.9016203703703703,1.5249228395061727
Mark 67,buyer_agg,isolated,100,VELVETFRUIT_EXTRACT,162,1.3271604938271604,1.0,0.5370370370370371,1.8097423438332165,-0.07777777777777774,2.8550154320987655
Mark 67,buyer_agg,isolated,100,HYDROGEL_PACK,162,-2.299382716049383,-3.0,0.35802469135802467,-1.9936691175764607,-4.521836419753087,-0.3109567901234575
