holdout_day,buyer,seller,symbol,K,n,mean_res_loo
3,Mark 38,Mark 14,VEV_4000,20,71,0.14429912810194506
3,Mark 38,Mark 14,VEV_4000,100,71,-2.807947686116699
3,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,71,0.3500577040840359
3,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,71,0.5302799236892929
3,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,71,-0.19801627490696633
3,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,116,0.02900962309542908
3,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,116,-0.740056134723336
3,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,116,-1.5430032076984768
3,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,17,-0.11561866125760656
3,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,17,0.84026369168357
3,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,17,-4.856997971602434
3,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,28,0.05005854800936766
3,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,28,-0.014344262295082011
3,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,28,-2.876463700234192
